,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
62481,2019-02-06 06:12:40,378858024506425,"fraud_Kutch, Steuber and Gerhold",food_dining,47.65,Debra,Eaton,F,72743 Brian Run,Paradise Valley,AZ,85253,33.5494,-111.9565,17047,Building surveyor,1935-01-29,02f65f346b45aa30e22885adc05ec6bd,1328508760.0,33.053709000000005,-111.768059,0.0
150627,2019-03-22 14:02:01,376445266762684,fraud_Powlowski-Weimann,food_dining,2.01,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1982-02-11,0d271ad0e0be8cf7e3caaaa506a714d1,1332424921.0,41.230137,-100.14109,0.0
75762,2019-02-14 07:03:28,4836998673805450,fraud_Schamberger-O'Keefe,grocery_pos,185.84,Susan,Hardy,F,516 Brown Parks,Manistique,MI,49854,46.0062,-86.2555,6469,Trade mark attorney,1979-04-12,50980f0c93ead1ebeeafefc2b8ce4174,1329203008.0,46.36603,-87.139534,0.0
333091,2019-06-07 18:43:34,2256234701263057,fraud_Waelchi-Wolf,kids_pets,167.41,Christopher,Grimes,M,39631 Dunn Radial,Grantham,NH,3753,43.5103,-72.1334,2971,Charity fundraiser,1948-04-11,3e2e3854cc4a9cef6b4577a8f0b43da2,1339094614.0,42.884224,-71.543872,0.0
465556,2019-07-24 12:36:30,213102873001603,fraud_Gottlieb-Hansen,personal_care,25.96,Joanne,Padilla,F,477 Alejandro Knolls Suite 828,Gardiner,OR,97441,43.7857,-124.1437,260,"Engineer, maintenance",1956-09-01,f9a5c912f0148d63bb60bd849c43aad7,1343133390.0,43.128695,-123.655793,0.0
3530,2019-01-02 23:56:23,4302480582202074,fraud_Lynch Ltd,shopping_pos,3.47,David,Rodriguez,M,821 Solis Points,Muskegon,MI,49440,43.2326,-86.2492,128715,Historic buildings inspector/conservation officer,1995-05-25,9bb179ccd3b584b9f298004ffdffc100,1325548583.0,42.371975,-86.55002900000001,0.0
452043,2019-07-20 03:24:38,3534330126107879,"fraud_Gottlieb, Considine and Schultz",shopping_net,91.63,Jeffrey,Smith,M,713 Scott Pike Apt. 712,Bridger,MT,59014,45.2857,-108.9082,1446,Chartered loss adjuster,1978-01-15,c8a2d5d1a5da71c79553909ed6e4ed28,1342754678.0,45.522211,-108.60066,0.0
213495,2019-04-19 07:51:40,4070511711385545,fraud_Lesch Ltd,shopping_pos,5.75,Stephanie,Hopkins,F,44089 Carrie Crossing Suite 954,Falls City,TX,78113,28.9814,-98.0156,2435,"Engineer, mining",1967-04-09,f4b0d533140e2cbe1d286c68a88a664d,1334821900.0,29.498009000000003,-97.743864,0.0
6232,2019-01-04 23:54:28,4587657402165341815,"fraud_Lubowitz, Terry and Stracke",personal_care,60.19,Amber,Lewis,F,6296 John Keys Suite 858,Pembroke Township,IL,60958,41.0646,-87.5917,2135,"Psychotherapist, child",2004-05-08,29127c5a33b63d7b3f8b4d0b53d3697a,1325721268.0,41.764303000000005,-86.77336899999999,0.0
189989,2019-04-08 07:03:40,4158945090781624,fraud_Kuhic Inc,grocery_pos,47.69,Justin,Bell,M,5323 Walker Island,Pittsburgh,PA,15217,40.4308,-79.9205,687276,"Scientist, marine",1973-10-19,2956261340a7144b7f0fd2ef4beaebc5,1333868620.0,40.614846,-80.691988,0.0
295989,2019-05-25 14:05:30,38052002992326,fraud_Gislason Group,travel,12.07,Anna,Logan,F,3522 Park Wells Suite 528,Cleveland,TX,77327,30.33,-95.0202,34153,Building surveyor,1995-09-11,b4a71493546399545ed7be437cac4f90,1337954730.0,29.477752,-95.617584,0.0
192766,2019-04-09 08:18:08,4104312520615374,fraud_McGlynn-Heathcote,misc_net,138.32,Brooke,Rodriguez,F,901 Todd Gardens Apt. 466,Mountain Center,CA,92561,33.6401,-116.5567,1661,"Therapist, music",1988-09-19,0609e33a8080d4d53de9006cc2e06a19,1333959488.0,32.645329,-116.865252,0.0
225991,2019-04-24 09:18:10,4302475216404898,fraud_Bins-Rice,gas_transport,69.03,Daniel,Cain,M,384 Newman Forks Apt. 370,Belmond,IA,50421,42.8511,-93.62,3032,Community pharmacist,1964-08-08,1ba6fd94033412270d39f838693de68d,1335259090.0,43.335816,-93.585809,0.0
264254,2019-05-11 17:14:24,375248307838179,fraud_Jakubowski Inc,home,82.74,Joshua,Mendoza,M,4215 Miranda Field Suite 326,Tallmansville,WV,26237,38.8564,-80.158,571,Accounting technician,1967-09-16,f917c8a3d7746e7df2cc8b925fed3842,1336756464.0,39.686759,-79.912533,0.0
175110,2019-04-01 15:44:48,6011348830550197,"fraud_Hauck, Dietrich and Funk",kids_pets,159.29,Samuel,Johnston,M,16285 Jessica Lights,Birmingham,AL,35229,33.4629,-86.7904,493806,Musician,1980-07-12,18add3d0fd7c6b32901cd4c7eae8b63d,1333295088.0,33.637041,-87.39608199999999,0.0
393497,2019-06-29 07:47:31,571365235126,"fraud_Ferry, Lynch and Kautzer",misc_net,87.17,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,03577b7e2a021a327a9f7f51485172d1,1340956051.0,44.984209,-85.962552,0.0
313477,2019-05-31 20:18:23,6517217825320610,fraud_Bode-Schuster,kids_pets,28.95,James,Reese,M,26975 Richardson Mills Apt. 402,Sontag,MS,39665,31.6453,-90.1801,1196,"Librarian, academic",1958-06-11,b2a64f0d9e146323e872562a73539d2d,1338495503.0,30.906053000000004,-89.329551,0.0
485940,2019-07-31 17:50:19,4155021259183870,fraud_Conroy Ltd,shopping_pos,5.73,Renee,Parrish,F,174 Jennifer Meadow Apt. 467,Mountain Park,OK,73559,34.7032,-98.9591,540,Research scientist (life sciences),1983-10-12,f3e9d4aa7fee5db66e27bd78ece761b6,1343757019.0,35.275844,-98.004841,0.0
135739,2019-03-15 22:44:00,6011552879910390,fraud_Doyle Ltd,grocery_pos,310.03,Robert,Long,M,529 Joshua Knoll Apt. 511,Lonetree,WY,82936,41.0552,-110.1603,49,Research scientist (physical sciences),1981-07-05,08ff96a304f37d9235317bd3bba6e635,1331851440.0,41.283249,-110.290484,1.0
419062,2019-07-07 20:33:51,180065479077096,"fraud_Dare, Casper and Bartoletti",kids_pets,34.29,Krystal,Gamble,F,47152 Clayton Burg,Manchester,MD,21102,39.6747,-76.8941,11751,Clinical research associate,1964-02-15,01162ce3c53bf8b9cabda3608281a581,1341693231.0,40.143064,-76.032853,0.0
439862,2019-07-15 03:36:58,4379260813815979609,"fraud_Towne, Walker and Borer",grocery_net,44.02,Thomas,Jenkins,M,93914 Gregory Via,Oakland,CA,94619,37.7878,-122.1884,381459,Barista,1974-01-03,98da1ed352920251652717231dd8e4c0,1342323418.0,38.015219,-122.67876,0.0
240688,2019-04-30 14:35:07,377993105397617,fraud_Quitzon-Goyette,home,65.31,Nathan,Martinez,M,586 Thomas Cliffs,Oconto Falls,WI,54154,44.8755,-88.1555,5548,Mining engineer,1975-09-11,9237781a2791e6c80d39fd328537177f,1335796507.0,45.801489,-88.54571800000001,0.0
393325,2019-06-29 06:10:44,4988304376504,fraud_Kris-Weimann,misc_net,6.18,William,Thompson,M,977 Rita Grove Apt. 000,Rock Tavern,NY,12575,41.4575,-74.1659,2258,Building surveyor,1937-03-17,3c6f7838cdb1ddf04bbf1e75eb18bde5,1340950244.0,41.612589,-73.247516,0.0
348924,2019-06-13 03:06:32,6011626928491360,fraud_Lockman Ltd,grocery_pos,73.98,Heather,Roberts,F,62934 Maria Cliffs Suite 350,Bethel Springs,TN,38315,35.2289,-88.64399999999999,3876,Senior tax professional/tax inspector,1960-11-19,f049f6d85451da6f905cb121290c9963,1339556792.0,35.202222,-88.282003,0.0
144979,2019-03-19 05:05:58,501802953619,"fraud_Huel, Hammes and Witting",grocery_pos,107.12,Robert,Flores,M,3277 Fields Meadows Apt. 790,Greenview,CA,96037,41.5403,-122.9366,308,Call centre manager,1958-09-20,cf31f2a01b790b44334f649489ea51a3,1332133558.0,41.497584,-122.120231,0.0
383058,2019-06-24 17:49:22,4607072969078276,"fraud_Witting, Beer and Ernser",home,19.55,Brenda,Perez,F,033 Tara Brook Suite 523,Coyle,OK,73027,35.8985,-97.2607,1493,Amenity horticulturist,1985-03-21,0a709493dc23a89d4b9392167169a768,1340560162.0,35.994222,-96.280891,0.0
426936,2019-07-10 18:20:04,213180742685905,fraud_Hoppe-Parisian,kids_pets,11.67,Kayla,Sutton,F,010 Weaver Land,Carlotta,CA,95528,40.507,-123.9743,1139,"Therapist, occupational",1951-01-15,015f51fc42ea583b91801016092956c3,1341944404.0,40.700757,-123.046122,0.0
158672,2019-03-25 11:20:10,4129767952109660,fraud_Murray Ltd,grocery_net,47.41,Cheryl,Ballard,F,248 James Squares Apt. 838,Halstad,MN,56548,47.3551,-96.798,771,"Scientist, audiological",1972-06-14,718cf2600c1b44c2067b44cc8189efe3,1332674410.0,47.11544,-97.196145,0.0
370846,2019-06-21 00:13:13,6011399591920186,fraud_Dooley-Thompson,misc_net,7.4,Maria,Roy,F,58665 Nicholas Ford Suite 348,Sheffield,MA,1257,42.1001,-73.3611,2121,Radio producer,1973-10-14,f35a82b941f674f5f795202862026680,1340237593.0,42.797861,-72.991413,0.0
191333,2019-04-08 17:33:32,2222157926772399,fraud_Schuppe-Schuppe,food_dining,3.24,Amy,Garrett,F,6014 Thomas Throughway,Trenton,TX,75490,33.4235,-96.3398,2211,"Investment banker, operational",1987-02-26,aaacab7864c5d71a32bd04e30c07bfd9,1333906412.0,32.831108,-95.628326,0.0
252400,2019-05-05 23:30:41,4364010865167176,fraud_Daugherty-Thompson,food_dining,152.13,Gary,Martinez,M,03512 Jackson Ports,Reno,NV,89512,39.5483,-119.7957,276896,Immunologist,1997-03-12,e3643001e478c5a73a1f0d972edaa972,1336260641.0,38.79478,-119.78144,0.0
341945,2019-06-10 08:13:03,4500002361389,"fraud_Stroman, Hudson and Erdman",gas_transport,59.26,Joseph,Nixon,M,86882 Desiree Camp Suite 047,Tyaskin,MD,21865,38.2833,-75.8465,470,Music tutor,1965-04-07,d23ac6883f7a3ac90de60afaa6aca8b0,1339315983.0,37.946702,-75.553659,0.0
231309,2019-04-27 04:36:32,4092452671396169678,"fraud_Reilly, Heaney and Cole",gas_transport,84.99,Jeffrey,Vargas,M,478 Alexandria Mount,Bolton,NC,28423,34.3091,-78.3372,2290,"Engineer, biomedical",1945-12-07,184edce1a05810cb35234ba12d8fe494,1335501392.0,35.200808,-77.372485,0.0
474824,2019-07-28 00:57:11,4239552724014407,fraud_Brekke and Sons,gas_transport,64.01,Carl,Hernandez,M,9134 Darryl Flat Suite 916,Paulding,OH,45879,41.141000000000005,-84.5722,6284,Secondary school teacher,1936-03-27,0f2fe7ca9719a94acd4f8f89e576a3a2,1343437031.0,40.554315,-84.660639,0.0
232694,2019-04-27 17:26:03,6539653032686894,fraud_Daugherty LLC,kids_pets,174.7,Samuel,Short,M,23383 Denise Pine Apt. 099,Sacramento,CA,95842,38.6865,-121.3494,757530,Soil scientist,1966-09-19,a76753fbf80179c03099af6fd851ce83,1335547563.0,39.027704,-121.04602,0.0
